Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 3,009,169 milliseconds (3,009.17 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 2,161,512 milliseconds (2,161.51 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 1,810,972 milliseconds (1,810.97 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 1,954,219 milliseconds (1,954.22 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 2,351,414 milliseconds (2,351.41 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 1,682,472 milliseconds (1,682.47 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 778,529 milliseconds (778.53 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 776,045 milliseconds (776.04 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 785,174 milliseconds (785.17 seconds).
Column dimension: 64    |Potential Radius: 4| Inhibition type: Local   | Total time: 778,607 milliseconds (778.61 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 1,655,580 milliseconds (1,655.58 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 1,653,605 milliseconds (1,653.61 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 5,139,636 milliseconds (5,139.64 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 4,880,143 milliseconds (4,880.14 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 3,922,368 milliseconds (3,922.37 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 3,852,947 milliseconds (3,852.95 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 1,851,056 milliseconds (1,851.06 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 1,667,880 milliseconds (1,667.88 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 1,679,406 milliseconds (1,679.41 seconds).
Column dimension: 64    |Potential Radius: 8| Inhibition type: Local   | Total time: 3,317,751 milliseconds (3,317.75 seconds).
Column dimension: 64    |Potential Radius: 12| Inhibition type: Local   | Total time: 7,330,091 milliseconds (7,330.09 seconds).
Column dimension: 64    |Potential Radius: 12| Inhibition type: Local   | Total time: 30,878,635 milliseconds (30,878.63 seconds).
Column dimension: 64    |Potential Radius: 12| Inhibition type: Local   | Total time: 2,514,229 milliseconds (2,514.23 seconds).
Column dimension: 64    |Potential Radius: 12| Inhibition type: Local   | Total time: 2,532,408 milliseconds (2,532.41 seconds).
Column dimension: 64    |Potential Radius: 12| Inhibition type: Local   | Total time: 8,594,955 milliseconds (8,594.95 seconds).
